fecha;Open;High;Low;Close;Volume;Currency
14/04/2017;0.9939;0.996;0.9689;0.9899;71652;USD
15/04/2017;0.9899;0.9899;0.9676;0.9896;14922;USD
16/04/2017;0.9896;0.9896;0.9515;0.9515;12412;USD
17/04/2017;0.9515;0.9698;0.9211;0.9392;38750;USD
18/04/2017;0.9392;0.9628;0.9207;0.945;39253;USD
19/04/2017;0.945;0.9549;0.9372;0.946;28868;USD
20/04/2017;0.946;0.9549;0.92;0.949;76285;USD
21/04/2017;0.949;0.95;0.9;0.9363;61117;USD
22/04/2017;0.9363;0.95;0.915;0.915;118034;USD
23/04/2017;0.915;0.94;0.901;0.915;76408;USD
24/04/2017;0.915;0.9286;0.901;0.915;79088;USD
25/04/2017;0.915;0.925;0.89;0.904;100967;USD
26/04/2017;0.904;0.9367;0.903;0.9201;52901;USD
27/04/2017;0.9201;0.937;0.9199;0.92;47575;USD
28/04/2017;0.92;0.9649;0.9199;0.94;75783;USD
29/04/2017;0.94;0.9524;0.931;0.931;25577;USD
30/04/2017;0.931;0.9529;0.912;0.935;74275;USD
01/05/2017;0.935;0.94;0.9151;0.9156;34195;USD
02/05/2017;0.9156;0.94;0.9121;0.9283;57014;USD
03/05/2017;0.9283;0.948;0.9212;0.9347;76230;USD
04/05/2017;0.9347;0.9639;0.9155;0.959;198890;USD
05/05/2017;0.959;0.98;0.9306;0.979;196709;USD
06/05/2017;0.979;0.9929;0.955;0.983;56413;USD
07/05/2017;0.983;0.983;0.928;0.9281;59896;USD
08/05/2017;0.9281;0.972;0.9281;0.9711;69667;USD
09/05/2017;0.9711;0.978;0.9527;0.97;462515;USD
10/05/2017;0.97;0.9946;0.965;0.994;253817;USD
11/05/2017;0.994;0.9986;0.9475;0.9725;309210;USD
12/05/2017;0.9725;0.9928;0.9601;0.9811;34436;USD
13/05/2017;0.9811;0.9857;0.956;0.9778;29361;USD
14/05/2017;0.9778;0.9886;0.9615;0.98;82505;USD
15/05/2017;0.98;0.992;0.9722;0.9773;88547;USD
16/05/2017;0.9773;0.9898;0.97;0.9897;53562;USD
17/05/2017;0.9897;0.9897;0.9702;0.9766;23833;USD
18/05/2017;0.9766;0.9868;0.9703;0.9799;24741;USD
19/05/2017;0.9799;0.9983;0.9706;0.9983;234100;USD
20/05/2017;0.9983;0.999;0.9801;0.99;200802;USD
21/05/2017;0.99;1.0;0.977;0.9956;129296;USD
22/05/2017;0.9956;1.0;0.9768;1.0;309600;USD
23/05/2017;1.0;1.02;0.9827;0.999;206724;USD
24/05/2017;0.999;1.02;0.9801;1.01;387868;USD
25/05/2017;1.01;1.07;0.984;1.0;182727;USD
26/05/2017;1.0;1.05;1.0;1.02;205323;USD
27/05/2017;1.02;1.05;1.0;1.0;258251;USD
28/05/2017;1.0;1.04;1.0;1.0;293178;USD
29/05/2017;1.0;1.04;1.0;1.04;259803;USD
30/05/2017;1.04;1.04;1.01;1.02;451237;USD
31/05/2017;1.02;1.07;1.0;1.06;311727;USD
01/06/2017;1.06;1.06;1.01;1.04;316038;USD
02/06/2017;1.04;1.06;1.03;1.03;178295;USD
03/06/2017;1.03;1.05;1.01;1.03;203330;USD
04/06/2017;1.03;1.05;1.02;1.02;121688;USD
05/06/2017;1.02;1.03;1.02;1.02;139631;USD
06/06/2017;1.02;1.04;1.01;1.01;332976;USD
07/06/2017;1.01;1.02;1.01;1.02;269599;USD
08/06/2017;1.02;1.02;1.0;1.01;260077;USD
09/06/2017;1.01;1.01;0.999;1.0;229006;USD
10/06/2017;1.0;1.01;0.9995;1.0;292677;USD
11/06/2017;1.0;1.01;0.984;0.9951;197297;USD
12/06/2017;0.9951;1.01;0.995;1.0;485620;USD
13/06/2017;1.0;1.04;1.0;1.01;432599;USD
14/06/2017;1.01;1.07;1.01;1.01;390167;USD
15/06/2017;1.01;1.06;1.01;1.02;536473;USD
16/06/2017;1.02;1.05;1.01;1.01;308660;USD
17/06/2017;1.01;1.02;1.01;1.01;149825;USD
18/06/2017;1.01;1.02;1.01;1.02;294647;USD
19/06/2017;1.02;1.02;1.0;1.0;194485;USD
20/06/2017;1.0;1.01;1.0;1.0;136279;USD
21/06/2017;1.0;1.01;1.0;1.01;355750;USD
22/06/2017;1.01;1.02;1.0;1.01;755478;USD
23/06/2017;1.01;1.01;0.9969;1.0;500183;USD
24/06/2017;1.0;1.02;0.9969;1.02;1060718;USD
25/06/2017;1.02;1.02;0.999;1.0;283242;USD
26/06/2017;1.0;1.02;1.0;1.0;734978;USD
27/06/2017;1.0;1.01;0.993;1.01;1299069;USD
28/06/2017;1.01;1.03;1.01;1.02;1558858;USD
29/06/2017;1.02;1.03;1.0;1.02;551050;USD
30/06/2017;1.02;1.02;1.01;1.01;344149;USD
01/07/2017;1.01;1.03;1.01;1.01;1288896;USD
02/07/2017;1.01;1.04;1.01;1.03;644014;USD
03/07/2017;1.03;1.03;1.01;1.01;498713;USD
04/07/2017;1.01;1.02;1.01;1.01;394415;USD
05/07/2017;1.01;1.01;1.01;1.01;647888;USD
06/07/2017;1.01;1.03;1.01;1.01;553517;USD
07/07/2017;1.01;1.02;1.01;1.01;608892;USD
08/07/2017;1.01;1.02;1.01;1.01;309973;USD
09/07/2017;1.01;1.01;1.01;1.01;232804;USD
10/07/2017;1.01;1.01;1.0;1.01;988746;USD
11/07/2017;1.01;1.01;1.0;1.01;920952;USD
12/07/2017;1.01;1.01;1.0;1.01;823344;USD
13/07/2017;1.01;1.01;1.0;1.0;1100560;USD
14/07/2017;1.0;1.01;1.0;1.0;694811;USD
15/07/2017;1.0;1.01;0.999;0.999;1038138;USD
16/07/2017;0.999;1.0;0.9803;0.99;345220;USD
17/07/2017;0.99;1.0;0.981;1.0;574383;USD
18/07/2017;1.0;1.01;0.9943;1.0;872839;USD
19/07/2017;1.0;1.0;1.0;1.0;523022;USD
20/07/2017;1.0;1.0;0.9951;1.0;1027113;USD
21/07/2017;1.0;1.01;0.9962;1.0;497252;USD
22/07/2017;1.0;1.0;0.9975;0.9976;284093;USD
23/07/2017;0.9976;1.0;0.9941;1.0;1016031;USD
24/07/2017;1.0;1.0;0.9951;0.9969;631283;USD
25/07/2017;0.9969;1.0;0.983;0.9869;456304;USD
26/07/2017;0.9869;1.0;0.9869;0.9985;862748;USD
27/07/2017;0.9985;1.0;0.9918;0.9993;587171;USD
28/07/2017;0.9993;1.0;0.9966;1.0;1697804;USD
29/07/2017;1.0;1.01;0.9984;1.0;886652;USD
30/07/2017;1.0;1.01;0.9991;1.0;497442;USD
31/07/2017;1.0;1.01;1.0;1.0;504888;USD
01/08/2017;1.0;1.01;0.995;1.0;997740;USD
02/08/2017;1.0;1.0;0.965;0.9991;584478;USD
03/08/2017;0.9991;1.0;0.9902;0.9931;656835;USD
04/08/2017;0.9931;1.0;0.9931;1.0;410034;USD
05/08/2017;1.0;1.0;0.9972;1.0;713495;USD
06/08/2017;1.0;1.0;0.9983;1.0;671214;USD
07/08/2017;1.0;1.0;0.9972;1.0;900683;USD
08/08/2017;1.0;1.0;0.9974;1.0;381382;USD
09/08/2017;1.0;1.0;0.9982;1.0;729914;USD
10/08/2017;1.0;1.0;0.9985;1.0;531502;USD
11/08/2017;1.0;1.0;0.98;1.0;1342293;USD
12/08/2017;1.0;1.01;1.0;1.01;845134;USD
13/08/2017;1.01;1.01;1.0;1.0;922341;USD
14/08/2017;1.0;1.0;0.9844;1.0;806767;USD
15/08/2017;1.0;1.0;0.9891;1.0;2019829;USD
16/08/2017;1.0;1.0;1.0;1.0;494986;USD
17/08/2017;1.0;1.0;0.9872;0.9999;951050;USD
18/08/2017;0.9999;1.0;0.9902;1.0;704927;USD
19/08/2017;1.0;1.01;0.9999;1.0;868088;USD
20/08/2017;1.0;1.01;1.0;1.0;309437;USD
21/08/2017;1.0;1.01;1.0;1.01;603092;USD
22/08/2017;1.01;1.02;1.0;1.01;313753;USD
23/08/2017;1.01;1.04;1.01;1.01;318873;USD
24/08/2017;1.01;1.01;1.01;1.01;199399;USD
25/08/2017;1.01;1.01;1.0;1.01;254251;USD
26/08/2017;1.01;1.01;1.01;1.01;118208;USD
27/08/2017;1.01;1.01;1.0;1.0;215742;USD
28/08/2017;1.0;1.0;1.0;1.0;396388;USD
29/08/2017;1.0;1.02;1.0;1.01;484437;USD
30/08/2017;1.01;1.01;1.0;1.0;215578;USD
31/08/2017;1.0;1.01;1.0;1.0;280339;USD
01/09/2017;1.0;1.07;1.0;1.01;450601;USD
02/09/2017;1.01;1.05;1.0;1.02;443857;USD
03/09/2017;1.02;1.05;1.01;1.02;609387;USD
04/09/2017;1.02;1.05;1.01;1.04;900368;USD
05/09/2017;1.04;1.05;1.01;1.02;1329012;USD
06/09/2017;1.02;1.04;1.02;1.02;774821;USD
07/09/2017;1.02;1.02;1.01;1.01;638664;USD
08/09/2017;1.01;1.03;1.01;1.02;781487;USD
09/09/2017;1.02;1.02;1.01;1.01;490859;USD
10/09/2017;1.01;1.03;1.01;1.01;746237;USD
11/09/2017;1.01;1.02;1.0;1.01;604546;USD
12/09/2017;1.01;1.01;1.0;1.0;549133;USD
13/09/2017;1.0;1.01;1.0;1.0;756343;USD
14/09/2017;1.0;1.01;1.0;1.01;1310599;USD
15/09/2017;1.01;1.01;0.9953;1.01;1080338;USD
16/09/2017;1.01;1.03;1.0;1.01;785282;USD
17/09/2017;1.01;1.02;1.0;1.01;405018;USD
18/09/2017;1.01;1.02;1.0;1.0;649942;USD
19/09/2017;1.0;1.01;1.0;1.0;471476;USD
20/09/2017;1.0;1.01;1.0;1.0;667522;USD
21/09/2017;1.0;1.01;1.0;1.0;608221;USD
22/09/2017;1.0;1.01;1.0;1.0;297070;USD
23/09/2017;1.0;1.0;0.9882;1.0;793117;USD
24/09/2017;1.0;1.0;0.996;0.9998;299819;USD
25/09/2017;0.9998;1.0;0.995;1.0;986003;USD
26/09/2017;1.0;1.01;0.9995;0.9998;941215;USD
27/09/2017;0.9998;1.0;0.992;0.9986;888137;USD
28/09/2017;0.9986;1.0;0.9952;0.9979;753343;USD
29/09/2017;0.9979;1.0;0.9939;0.9984;947811;USD
30/09/2017;0.9984;0.9999;0.9905;0.9998;778541;USD
01/10/2017;0.9998;0.9998;0.9909;0.9928;558112;USD
02/10/2017;0.9928;0.9979;0.9906;0.9936;707420;USD
03/10/2017;0.9936;0.9999;0.9926;0.9998;848296;USD
04/10/2017;0.9998;1.0;0.993;0.9961;1168338;USD
05/10/2017;0.9961;1.0;0.996;0.9984;883344;USD
06/10/2017;0.9984;0.9999;0.994;0.9969;1073165;USD
07/10/2017;0.9969;0.9984;0.9933;0.9943;864730;USD
08/10/2017;0.9943;0.9972;0.9933;0.9954;975740;USD
09/10/2017;0.9954;0.9972;0.9949;0.997;984541;USD
10/10/2017;0.997;0.9972;0.9941;0.9942;1094348;USD
11/10/2017;0.9942;0.9972;0.993;0.9962;1187249;USD
12/10/2017;0.9962;0.9972;0.9904;0.9937;1157731;USD
13/10/2017;0.9937;0.9972;0.9915;0.9945;1210277;USD
14/10/2017;0.9945;0.998;0.9921;0.9958;910255;USD
15/10/2017;0.9958;1.0;0.9952;0.9992;722567;USD
16/10/2017;0.9992;1.0;0.98;0.9924;1003387;USD
17/10/2017;0.9924;1.0;0.9874;1.0;1814914;USD
18/10/2017;1.0;1.01;0.9997;1.0;442518;USD
19/10/2017;1.0;1.01;0.9989;0.9999;568020;USD
20/10/2017;0.9999;1.0;0.9971;0.9994;511250;USD
21/10/2017;0.9994;1.0;0.97;0.999;1156008;USD
22/10/2017;0.999;1.01;0.9981;1.0;666034;USD
23/10/2017;1.0;1.01;1.0;1.0;982144;USD
24/10/2017;1.0;1.01;1.0;1.0;1216505;USD
25/10/2017;1.0;1.01;1.0;1.0;1145075;USD
26/10/2017;1.0;1.01;1.0;1.0;1024021;USD
27/10/2017;1.0;1.01;1.0;1.01;1082261;USD
28/10/2017;1.01;1.01;1.0;1.0;1003722;USD
29/10/2017;1.0;1.01;1.0;1.0;1070003;USD
30/10/2017;1.0;1.0;0.9972;1.0;1220299;USD
31/10/2017;1.0;1.01;0.997;0.9999;1279041;USD
01/11/2017;0.9999;1.01;0.996;1.0;1343196;USD
02/11/2017;1.0;1.01;1.0;1.0;367213;USD
03/11/2017;1.0;1.01;1.0;1.0;554417;USD
04/11/2017;1.0;1.01;1.0;1.0;906483;USD
05/11/2017;1.0;1.01;1.0;1.0;656300;USD
06/11/2017;1.0;1.02;1.0;1.0;826576;USD
07/11/2017;1.0;1.01;1.0;1.0;376919;USD
08/11/2017;1.0;1.01;1.0;1.01;747892;USD
09/11/2017;1.01;1.01;1.0;1.01;845987;USD
10/11/2017;1.01;1.02;0.999;1.0;1408700;USD
11/11/2017;1.0;1.01;1.0;1.01;905090;USD
12/11/2017;1.01;1.02;1.0;1.0;959650;USD
13/11/2017;1.0;1.02;1.0;1.01;556040;USD
14/11/2017;1.01;1.02;1.01;1.01;279279;USD
15/11/2017;1.01;1.02;1.0;1.0;819436;USD
16/11/2017;1.0;1.0;0.985;0.985;1247191;USD
17/11/2017;0.985;1.0;0.983;1.0;675882;USD
18/11/2017;1.0;1.01;0.9901;0.9987;743663;USD
19/11/2017;0.9987;1.0;0.989;0.9943;868075;USD
20/11/2017;0.9943;0.9995;0.9006;0.9947;989228;USD
21/11/2017;0.9947;0.997;0.96;0.9807;673366;USD
22/11/2017;0.9807;1.0;0.9789;0.9985;840343;USD
23/11/2017;0.9985;0.999;0.98;0.995;317834;USD
24/11/2017;0.995;1.0;0.986;0.991;634304;USD
25/11/2017;0.991;0.9986;0.988;0.997;272513;USD
26/11/2017;0.997;1.0;0.9883;0.9961;504131;USD
27/11/2017;0.9961;1.0;0.991;0.9978;462454;USD
28/11/2017;0.9978;0.9978;0.9791;0.9924;531300;USD
29/11/2017;0.9924;0.999;0.95;0.9988;1468976;USD
30/11/2017;0.9988;1.02;0.9959;1.01;1614576;USD
01/12/2017;1.01;1.01;1.0;1.01;457316;USD
02/12/2017;1.01;1.01;0.9826;0.9959;970815;USD
03/12/2017;0.9959;0.998;0.984;0.9977;1303914;USD
04/12/2017;0.9977;1.0;0.986;1.0;2913139;USD
05/12/2017;1.0;1.0;0.985;1.0;1744163;USD
06/12/2017;1.0;1.01;0.9967;1.01;2482856;USD
07/12/2017;1.01;1.01;1.0;1.01;1750711;USD
08/12/2017;1.01;1.01;1.0;1.01;631928;USD
09/12/2017;1.01;1.02;1.0;1.0;488255;USD
10/12/2017;1.0;1.02;1.0;1.0;983314;USD
11/12/2017;1.0;1.02;1.0;1.01;896910;USD
12/12/2017;1.01;1.03;1.0;1.02;1192275;USD
13/12/2017;1.02;1.02;1.0;1.0;1120114;USD
14/12/2017;1.0;1.03;1.0;1.0;1061192;USD
15/12/2017;1.0;1.02;1.0;1.0;1210350;USD
16/12/2017;1.0;1.01;1.0;1.01;884797;USD
17/12/2017;1.01;1.01;0.99;0.9958;1600336;USD
18/12/2017;0.9958;1.01;0.9953;0.9985;2093419;USD
19/12/2017;0.9985;1.01;0.99;1.01;2184422;USD
20/12/2017;1.01;1.01;0.9909;0.9945;1891661;USD
21/12/2017;0.9945;0.995;0.9945;0.995;1745303;USD
22/12/2017;0.995;1.04;0.995;1.03;4501494;USD
23/12/2017;1.03;1.04;1.01;1.03;2499631;USD
24/12/2017;1.03;1.03;1.01;1.02;3846179;USD
25/12/2017;1.02;1.03;1.0;1.01;3450891;USD
26/12/2017;1.01;1.02;0.9993;1.0;2868584;USD
27/12/2017;1.0;1.01;0.9952;1.01;1771857;USD
28/12/2017;1.01;1.03;1.0;1.02;5004518;USD
29/12/2017;1.02;1.02;1.01;1.02;1811523;USD
30/12/2017;1.02;1.03;1.02;1.02;4025631;USD
31/12/2017;1.02;1.03;1.01;1.02;973137;USD
01/01/2018;1.02;1.03;1.01;1.01;1620590;USD
02/01/2018;1.01;1.02;1.01;1.02;915821;USD
03/01/2018;1.02;1.02;1.0;1.01;1091718;USD
04/01/2018;1.01;1.02;1.01;1.02;2307218;USD
05/01/2018;1.02;1.02;0.9993;1.0;3268557;USD
06/01/2018;1.0;1.01;0.9955;1.0;1811751;USD
07/01/2018;1.0;1.0;0.99;0.997;1208362;USD
08/01/2018;0.997;1.0;0.997;1.0;3217608;USD
09/01/2018;1.0;1.01;1.0;1.01;2502904;USD
10/01/2018;1.01;1.01;0.996;1.0;3026512;USD
11/01/2018;1.0;10.089;0.9942;0.9942;1240786;USD
13/01/2018;1.017;1.017;0.9926;1.01;773770;USD
14/01/2018;1.01;1.01;0.9996;10.082;5069449;USD
15/01/2018;10.082;10.082;1.0;10.034;5824967;USD
16/01/2018;10.034;1.03;10.018;1.03;8319629;USD
17/01/2018;1.03;1.03;10.023;10.126;11232001;USD
18/01/2018;10.126;10.235;10.118;10.235;4569710;USD
19/01/2018;10.235;10.235;1.015;10.174;7380190;USD
20/01/2018;10.174;1.02;10.054;10.122;3126936;USD
21/01/2018;10.122;1.016;10.051;10.068;2307435;USD
22/01/2018;10.068;1.015;10.027;10.093;4127749;USD
23/01/2018;10.093;10.115;10.001;1.003;5878230;USD
24/01/2018;1.003;10.088;10.013;10.036;4812792;USD
25/01/2018;10.036;10.084;0.9964;10.028;4770926;USD
26/01/2018;10.028;10.054;0.9968;10.004;3097241;USD
27/01/2018;10.004;10.004;0.995;0.995;4898148;USD
28/01/2018;0.995;0.997;0.934;0.9795;5221368;USD
29/01/2018;0.9795;0.998;0.95;0.9913;6180937;USD
30/01/2018;0.9924;10.464;0.9765;0.982;14383895;USD
31/01/2018;0.982;0.9866;0.982;0.9866;6149478;USD
01/02/2018;0.9866;0.9866;0.9704;0.9796;11828451;USD
02/02/2018;0.9797;0.9908;0.9797;0.9908;10724159;USD
03/02/2018;0.9908;0.9965;0.99;0.9965;3976267;USD
04/02/2018;0.9965;0.9965;0.9885;0.9964;3229191;USD
05/02/2018;0.9964;0.9964;0.9875;0.9899;7877001;USD
06/02/2018;0.9899;10.014;0.9868;10.014;10486445;USD
07/02/2018;10.014;10.014;0.9989;1.001;3561423;USD
08/02/2018;1.001;1.001;10.005;10.005;1879932;USD
09/02/2018;10.005;10.041;10.005;10.041;1916645;USD
10/02/2018;10.041;10.041;10.022;10.029;3005831;USD
11/02/2018;10.028;10.028;10.013;10.013;2722481;USD
12/02/2018;10.013;10.013;0.9996;1.001;1654711;USD
13/02/2018;1.001;1.001;10.004;10.008;1642382;USD
14/02/2018;10.008;10.023;10.008;10.023;1773836;USD
15/02/2018;10.021;1.004;10.021;1.004;2507784;USD
16/02/2018;1.004;1.004;10.032;10.032;1826634;USD
17/02/2018;10.197;10.197;10.028;1.006;1512574;USD
18/02/2018;1.006;1.006;10.035;10.058;3599780;USD
19/02/2018;10.058;10.058;10.027;10.034;1843609;USD
20/02/2018;10.034;10.034;10.006;10.019;4859301;USD
21/02/2018;10.024;10.029;0.9999;10.029;5139166;USD
22/02/2018;10.036;10.036;1.002;1.002;3199539;USD
23/02/2018;10.018;10.018;10.008;1.001;2855581;USD
24/02/2018;1.001;1.003;10.009;1.003;2416952;USD
25/02/2018;1.003;1.003;10.024;10.025;2925391;USD
26/02/2018;10.025;10.025;10.015;10.015;4562479;USD
27/02/2018;10.015;10.025;10.015;10.025;1085059;USD
28/02/2018;10.025;10.025;10.007;10.011;2127098;USD
01/03/2018;10.011;10.011;0.9994;10.002;3787989;USD
02/03/2018;10.002;10.003;10.001;10.003;815314;USD
03/03/2018;10.002;10.015;10.002;10.015;1010480;USD
04/03/2018;10.015;10.023;10.015;10.023;1103789;USD
05/03/2018;10.023;10.023;10.008;1.001;2956776;USD
06/03/2018;1.001;1.001;10.002;10.008;2846533;USD
07/03/2018;10.008;10.034;10.008;10.034;2591527;USD
08/03/2018;10.034;10.044;0.9834;10.044;5343663;USD
09/03/2018;10.046;10.046;10.013;1.003;2805636;USD
10/03/2018;1.003;10.034;1.002;10.034;1251375;USD
11/03/2018;10.034;1.007;10.034;1.007;1154212;USD
12/03/2018;1.007;1.007;10.036;10.036;1187353;USD
13/03/2018;10.036;10.036;0.9994;1.002;2028639;USD
14/03/2018;1.002;10.023;1.002;10.023;1897136;USD
15/03/2018;10.023;10.023;0.9939;10.007;4504161;USD
16/03/2018;10.007;10.014;0.9994;10.014;1340198;USD
17/03/2018;10.014;10.024;0.9943;10.024;1012028;USD
18/03/2018;10.024;10.024;0.9929;0.9978;2772472;USD
19/03/2018;0.9978;10.016;0.9978;10.016;2046256;USD
20/03/2018;10.017;10.029;0.9986;10.029;1899371;USD
21/03/2018;10.029;10.029;0.9967;10.015;1069105;USD
22/03/2018;10.015;10.015;10.009;10.014;971532;USD
23/03/2018;10.014;10.014;0.9991;10.007;1532844;USD
24/03/2018;10.007;10.023;0.9848;10.023;729319;USD
25/03/2018;10.023;10.028;10.022;10.028;635939;USD
26/03/2018;10.028;10.035;10.017;10.035;1328379;USD
27/03/2018;10.035;10.045;10.028;10.045;1640880;USD
28/03/2018;10.045;10.045;10.015;10.015;774224;USD
29/03/2018;10.015;10.015;0.9958;0.9982;3016995;USD
30/03/2018;0.9982;0.9982;0.9944;0.9967;2609480;USD
31/03/2018;0.9967;10.003;0.9966;10.003;368233;USD
01/04/2018;10.003;10.004;0.9941;10.004;1996155;USD
02/04/2018;10.004;10.016;0.9996;10.016;655741;USD
03/04/2018;10.016;10.027;0.9989;10.027;1276105;USD
04/04/2018;10.027;10.027;0.9963;10.002;1711784;USD
05/04/2018;10.002;10.006;1.0;10.006;973603;USD
06/04/2018;10.006;10.006;0.9979;10.005;1058155;USD
07/04/2018;10.005;10.021;0.9987;10.021;3119656;USD
08/04/2018;10.021;10.021;0.9981;0.9996;1658189;USD
09/04/2018;0.9996;10.166;0.9993;10.011;952659;USD
10/04/2018;10.011;1.023;0.9488;10.011;457109;USD
11/04/2018;10.011;10.165;0.9992;10.001;841571;USD
12/04/2018;10.001;10.102;0.9952;0.9999;2625652;USD
13/04/2018;0.9999;10.087;0.9994;10.004;2912447;USD
14/04/2018;10.004;10.109;1.0;10.004;831049;USD
15/04/2018;10.004;10.053;0.9992;10.002;789692;USD
16/04/2018;10.002;10.034;0.9983;10.001;2002525;USD
17/04/2018;10.001;10.124;0.9993;0.9995;1113352;USD
18/04/2018;0.9995;1.011;0.9992;10.001;1003949;USD
19/04/2018;10.001;10.077;0.9995;10.005;784134;USD
20/04/2018;10.005;10.035;0.997;10.019;1684930;USD
21/04/2018;10.019;10.032;0.9932;10.002;985044;USD
22/04/2018;10.002;10.042;0.9952;1.003;710350;USD
23/04/2018;1.003;10.043;0.999;10.019;777446;USD
24/04/2018;10.019;1.004;0.9975;10.017;2133433;USD
25/04/2018;10.018;10.044;10.001;10.005;3522334;USD
26/04/2018;10.005;1.007;10.001;10.004;3435284;USD
27/04/2018;10.004;10.043;0.999;10.009;1892111;USD
28/04/2018;10.009;10.015;10.005;10.005;1633328;USD
29/04/2018;10.005;1.003;0.9991;1.001;1933166;USD
30/04/2018;1.001;10.046;0.9998;10.002;1655430;USD
01/05/2018;10.002;10.041;0.9998;1.001;1738532;USD
02/05/2018;1.001;1.002;0.9996;0.9996;2372350;USD
03/05/2018;0.9996;0.9999;0.9939;0.9965;3552016;USD
04/05/2018;0.9965;10.002;0.9951;0.9982;4591928;USD
05/05/2018;0.9982;0.9999;0.9922;0.993;1663065;USD
06/05/2018;0.993;0.9992;0.989;0.9937;1087914;USD
07/05/2018;0.9937;1.0;0.989;1.0;1940870;USD
08/05/2018;0.998;10.012;0.9975;10.001;5913999;USD
09/05/2018;10.001;10.003;0.999;1.0;3595778;USD
10/05/2018;1.0;10.007;0.999;0.999;5775162;USD
11/05/2018;0.999;10.007;0.999;0.9992;1726807;USD
12/05/2018;0.9992;10.007;0.999;10.001;1080224;USD
13/05/2018;10.001;1.002;0.9991;1.0;507510;USD
14/05/2018;1.0;10.002;0.9991;0.9999;906011;USD
15/05/2018;0.9999;10.003;0.9995;1.0;1453311;USD
16/05/2018;1.0;10.049;0.9994;10.011;1566266;USD
17/05/2018;10.011;10.012;0.9998;10.007;809989;USD
18/05/2018;10.007;1.002;0.9942;0.9979;2135996;USD
19/05/2018;0.9979;1.0;0.9979;0.9998;981038;USD
20/05/2018;0.9998;10.014;0.998;10.002;408073;USD
21/05/2018;10.002;1.002;0.9972;0.9985;1769151;USD
22/05/2018;0.9983;1.0;0.99;0.9988;1860180;USD
23/05/2018;0.9988;1.001;0.995;0.9998;1295355;USD
24/05/2018;0.9998;10.009;0.9905;0.9996;1213728;USD
25/05/2018;0.9996;10.007;0.9982;0.9998;955804;USD
26/05/2018;0.9998;1.001;0.9988;0.9989;986742;USD
27/05/2018;0.9989;1.0;0.9983;0.9983;389144;USD
28/05/2018;0.9983;10.006;0.998;0.9999;693437;USD
29/05/2018;0.9999;10.022;0.9934;0.9983;1645548;USD
30/05/2018;1.0;10.044;0.9954;0.9987;1871588;USD
31/05/2018;0.9992;10.047;0.9968;0.9982;645254;USD
01/06/2018;0.996;0.9988;0.996;0.9988;414024;USD
02/06/2018;1.0;10.007;0.9959;0.9998;2036833;USD
03/06/2018;0.9951;10.007;0.9942;0.9997;1239960;USD
04/06/2018;0.9959;10.011;0.9928;0.9988;908548;USD
05/06/2018;0.9988;10.017;0.9976;0.9993;1175077;USD
06/06/2018;0.9992;0.9992;0.9972;0.9972;1367758;USD
07/06/2018;0.9972;10.001;0.9962;0.9987;1519556;USD
08/06/2018;0.9955;10.017;0.9955;0.999;294928;USD
09/06/2018;10.007;10.026;0.9972;0.9987;218153;USD
10/06/2018;10.055;10.055;0.9995;10.013;1390242;USD
11/06/2018;10.193;10.197;0.9975;10.004;1397918;USD
12/06/2018;10.004;10.131;0.9997;10.011;1102646;USD
13/06/2018;10.011;10.202;10.011;10.124;32656;USD
14/06/2018;10.124;10.124;10.007;10.007;2818662;USD
